AMERICAN LOCKER GROUP INC,0008855,2540
AMERICAN MEDIA OPERATIONS INC,0853927,2721
AMERICAN MEDICAL ALERT CORP,0700721,7380
AMERICAN MEDICAL SYSTEMS HOLDINGS INC,1114200,3842
AMERICAN MEDICAL TECHNOLOGIES INC/DE,0874388,3843
AMERICAN MORTGAGE ACCEPTANCE CO,0878774,6798
AMERICAN NATIONAL BANKSHARES INC,0741516,6021
AMERICAN NATURAL ENERGY CORP,0870732,1311
AMERICAN OIL  GAS INC,1120916,1311
AMERICAN ORIENTAL BIOENGINEERING INC,1090514,2834
